school,african_american,american_indian,asian__not_pacific_islander,hispanic,multiracial,native_hawaiian_or_other_pacific_islander,white,total_students_enrolled,student_count_redactions,gifted,iep,not_iep_or_gifted,totals_iep,iep_redactions,students_from_feeder,students_from_outside_feeder,total_with_feeder_status,feeder_count_redactions,grade_level
PITTSBURGH ONLINE ACADEMY,,,,,,,,,,,,,,,,,,Y,K_5
PITTSBURGH OLIVER CITYWIDE ACADEMY,,,,,,,,,,,,,,,,,,Y,K_5
PITTSBURGH PIONEER,,,,,,,,17,Y,,,,17,Y,17,,17,,K_5
PITTSBURGH CONROY,25,,,,,,12,43,Y,,43,,43,N,43,,43,,K_5
PITTSBURGH SPRING HILL K-5,51,,,,23,,47,125,Y,,21,104,125,N,13,112,125,,K_5
PITTSBURGH MANCHESTER PreK-8,118,,,,,,,140,Y,,,82,140,Y,71,69,140,,K_5
PITTSBURGH MIFFLIN PreK-8,48,,,,21,,89,160,Y,,,122,160,Y,14,146,160,,K_5
PITTSBURGH WHITTIER K-5,44,,,,33,,85,168,Y,,,110,168,Y,,,168,Y,K_5
PITTSBURGH SUNNYSIDE PreK-8,77,,,,18,,65,170,Y,,39,131,170,,30,140,170,,K_5
PITTSBURGH WEST LIBERTY PreK-5,28,,,,28,,106,171,Y,,,127,171,Y,36,135,171,,K_5
PITTSBURGH WEIL PreK-5,171,,,,17,,,190,Y,,,141,190,Y,56,134,190,,K_5
PITTSBURGH LINCOLN PreK-5,177,,,,11,,,194,Y,,,157,194,Y,21,173,194,,K_5
PITTSBURGH WOOLSLAIR PreK-5,91,,,,30,,73,196,Y,,,162,196,Y,113,83,196,,K_5
PITTSBURGH WESTWOOD K-5,75,,31,,30,,69,214,Y,,,160,214,Y,46,168,214,,K_5
PITTSBURGH GRANDVIEW PreK-5,153,,,,34,,25,215,Y,,45,170,215,,19,196,215,,K_5
PITTSBURGH LINDEN K-5,167,,,,18,,28,216,Y,14,48,154,216,,216,,216,,K_5
PITTSBURGH MILLER PreK-5,206,,,,15,,,225,Y,,,177,225,Y,28,197,225,,K_5
PITTSBURGH GREENFIELD PreK-8,25,,16,16,14,,158,229,N,16,34,179,229,,46,183,229,,K_5
PITTSBURGH ROOSEVELT PreK-5,97,,11,,39,,91,244,Y,,,181,244,Y,31,213,244,,K_5
PITTSBURGH KING PreK-8,209,,,,25,,,244,Y,,,196,244,Y,,,244,Y,K_5
PITTSBURGH BANKSVILLE K-5,41,,67,30,16,,94,248,N,,,215,248,Y,136,112,248,,K_5
PITTSBURGH PHILLIPS K-5,104,,,12,31,,118,267,Y,21,55,191,267,,214,53,267,,K_5
PITTSBURGH ARLINGTON PreK-8,184,,,14,14,,50,267,Y,,,198,267,Y,38,229,267,,K_5
PITTSBURGH MONTESSORI PreK-5,42,,13,,19,,189,268,Y,49,36,183,268,,268,,268,,K_5
PITTSBURGH MINADEO PreK-5,178,,,,23,,57,269,Y,11,86,172,269,,53,216,269,,K_5
PITTSBURGH ARSENAL PreK-5,185,,13,63,11,,21,294,Y,,,238,294,Y,184,110,294,,K_5
PITTSBURGH BROOKLINE PreK-8,55,,,14,50,,194,317,Y,14,70,233,317,,61,256,317,,K_5
PITTSBURGH FULTON PreK-5,261,,,,24,,33,327,Y,16,65,246,327,,208,119,327,,K_5
PITTSBURGH LANGLEY K-8,229,,,,60,,45,341,Y,,,232,341,Y,33,308,341,,K_5
PITTSBURGH BEECHWOOD PreK-5,82,,17,100,35,,114,349,Y,,,276,349,Y,139,210,349,,K_5
PITTSBURGH MORROW PreK-8,239,,,,54,,93,392,Y,,,311,392,Y,21,371,392,,K_5
PITTSBURGH LIBERTY K-5,308,,,11,36,,45,401,Y,18,73,310,401,,401,,401,,K_5
PITTSBURGH CARMALT PreK-8,153,,33,,55,,162,412,Y,16,90,306,412,,412,,412,,K_5
PITTSBURGH CONCORD K-5,99,,71,42,50,,157,419,N,14,89,316,419,,135,284,419,,K_5
PITTSBURGH DILWORTH PreK-5,256,,,,36,,135,443,Y,,,379,443,Y,443,,443,,K_5
PITTSBURGH FAISON K-5,452,,,,19,,,477,Y,,,380,477,Y,28,449,477,,K_5
PITTSBURGH ALLEGHENY K-5,309,,22,13,61,,172,579,Y,32,115,432,579,,579,,579,,K_5
PITTSBURGH COLFAX K-8,111,,103,15,65,,299,596,Y,114,59,423,596,,23,573,596,,K_5
CLAYTON ACADEMY,,,,,,,,,Y,,,,,Y,,,,Y,6_8
PITTSBURGH PIONEER,,,,,,,,13,Y,,,,13,Y,13,,13,,6_8
PITTSBURGH STUDENT ACHIEVEMENT CENTER 6-12,13,,,,,,,20,Y,,,17,20,Y,20,,20,,6_8
PITTSBURGH ONLINE ACADEMY,,,,,,,12,22,Y,,,15,22,Y,22,,22,,6_8
PITTSBURGH CONROY,27,,,,,,,39,Y,,39,,39,,39,,39,,6_8
PITTSBURGH OLIVER CITYWIDE ACADEMY,35,,,,,,,43,Y,,,,43,Y,43,,43,,6_8
PITTSBURGH MANCHESTER PreK-8,52,,,,,,,65,Y,,27,38,65,,34,31,65,,6_8
PITTSBURGH SUNNYSIDE PreK-8,56,,,,,,27,94,Y,,,73,94,Y,19,75,94,,6_8
PITTSBURGH MILLIONES 6-12,92,,,,,,,95,Y,,,75,95,Y,,,95,Y,6_8
PITTSBURGH MIFFLIN PreK-8,51,,,,12,,41,105,Y,,,71,105,Y,,,105,Y,6_8
PITTSBURGH KING PreK-8,103,,,,,,,112,Y,,,83,112,Y,,,112,Y,6_8
PITTSBURGH GREENFIELD PreK-8,23,,11,,11,,73,124,Y,12,31,81,124,,28,96,124,,6_8
PITTSBURGH ARLINGTON PreK-8,85,,,,16,,24,129,Y,,42,87,129,,15,114,129,,6_8
PITTSBURGH BROOKLINE PreK-8,29,,,,19,,93,154,Y,11,36,107,154,,27,127,154,,6_8
PITTSBURGH ARSENAL 6-8,102,,,19,,,24,160,Y,,,115,160,Y,58,102,160,,6_8
PITTSBURGH CARMALT PreK-8,87,,,,21,,58,170,Y,15,39,116,170,,170,,170,,6_8
PITTSBURGH LANGLEY K-8,117,,,,31,,21,182,Y,,,124,182,Y,11,171,182,,6_8
PITTSBURGH MORROW PreK-8,118,,,,29,,32,183,Y,,,139,183,Y,26,157,183,,6_8
PITTSBURGH ALLEGHENY 6-8,153,,,,17,,,186,Y,,,131,186,Y,186,,186,,6_8
PITTSBURGH SCIENCE AND TECHNOLOGY ACADEMY,62,,,,17,,95,190,Y,66,15,109,190,,190,,190,,6_8
PITTSBURGH COLFAX K-8,79,,17,,28,,122,254,Y,92,42,120,254,,35,219,254,,6_8
PITTSBURGH SCHILLER 6-8,123,,,19,21,,94,260,Y,25,54,181,260,,190,70,260,,6_8
PITTSBURGH WESTINGHOUSE ACADEMY 6-12,244,,,,11,,,266,Y,,,208,266,Y,98,168,266,,6_8
PITTSBURGH CLASSICAL 6-8,152,,,14,30,,76,277,Y,21,88,168,277,,277,,277,,6_8
PITTSBURGH STERRETT 6-8,250,,,,13,,38,307,Y,22,77,208,307,,206,101,307,,6_8
PITTSBURGH SOUTH BROOK 6-8,95,,14,11,42,,193,355,,16,64,275,355,,42,313,355,,6_8
PITTSBURGH CAPA 6-12,101,,,,36,,220,372,Y,118,30,224,372,,372,,372,,6_8
PITTSBURGH OBAMA IB 6-12,301,,,,22,,57,394,Y,56,68,270,394,,394,,394,,6_8
PITTSBURGH SOUTH HILLS 6-8,191,,47,64,46,,135,483,,14,119,350,483,,113,370,483,,6_8
CITY CONNECTIONS - NORTH,,,,,,,,,Y,,,,,Y,,,,Y,9_12
CITY CONNECTIONS- EAST,,,,,,,,11,Y,,11,,11,,11,,11,,9_12
PITTSBURGH PIONEER,14,,,,,,,21,Y,,21,,21,,21,,21,,9_12
CITY CONNECTIONS-CCAC,,,,,,,,21,Y,,21,,21,,21,,21,,9_12
